VHCLE_TY_NM,VHCLE_FUEL_NM,VHCLE_NMPR_CO,VHCLE_MAKR_NM,USE_DT,COST_D
중형,LPG,5,국산,겨울,42000
SUV/승합,휘발유,5,국산,겨울,45186.2069
중형,휘발유,5,국산,겨울,19164.1791
중형,LPG,5,국산,겨울,75600
중형,LPG,5,국산,겨울,27789.47368
중형,LPG,5,국산,겨울,110988.6792
중형,휘발유,5,국산,겨울,59360
SUV/승합,경유,5,국산,봄,74592
중형,LPG,5,국산,겨울,108500
고급,휘발유,5,국산,겨울,75884.21053
중형,LPG,5,국산,겨울,15130.43478
중형,LPG,5,국산,겨울,23111.11111
중형,LPG,5,국산,겨울,60000
중형,휘발유,5,국산,겨울,41739.13043
SUV/승합,경유,9,국산,겨울,127058.8235
중형,LPG,5,국산,겨울,85381.81818
중형,LPG,5,국산,겨울,52500
중형,휘발유,5,국산,겨울,22944
중형,휘발유,5,국산,겨울,20256
고급,휘발유,5,국산,겨울,84754.28571
중형,LPG,5,국산,겨울,90666.66667
SUV/승합,경유,9,국산,겨울,60000
중형,LPG,5,국산,겨울,23351.35135
소형,휘발유,5,국산,겨울,13800
SUV/승합,전기,5,국산,겨울,28394.80519
SUV/승합,경유,7,국산,겨울,23733.33333
SUV/승합,전기,5,국산,겨울,28394.80519
소형,휘발유,5,국산,겨울,12676.05634
SUV/승합,경유,8,국산,겨울,75000
중형,휘발유,5,국산,겨울,18567.03297
중형,LPG,5,국산,겨울,96378.94737
중형,LPG,5,국산,겨울,16186.04651
중형,휘발유,5,국산,겨울,43760
중형,LPG,5,국산,겨울,53200
SUV/승합,전기,5,국산,겨울,64509.09091
중형,휘발유,5,국산,겨울,24930.61224
SUV/승합,경유,9,국산,겨울,48705.88235
SUV/승합,경유,5,국산,겨울,42480
중형,LPG,5,국산,겨울,18428.57143
소형,휘발유,5,국산,겨울,47084.21053
중형,LPG,5,국산,겨울,40000
중형,휘발유,5,국산,겨울,13333.33333
중형,LPG,5,국산,봄,96000
SUV/승합,경유,8,국산,겨울,120960
소형,휘발유,5,국산,겨울,22500
SUV/승합,경유,5,국산,겨울,42893.61702
중형,LPG,5,국산,겨울,50937.31343
중형,LPG,5,국산,겨울,28941.17647
중형,휘발유,5,국산,겨울,16407.27273
중형,휘발유,5,국산,겨울,24863.30935
SUV/승합,경유,9,국산,겨울,42666.66667
SUV/승합,휘발유,5,국산,겨울,44000
중형,LPG,5,국산,겨울,26596.72131
중형,휘발유,5,국산,겨울,75000
소형,휘발유,4,수입,겨울,70400
SUV/승합,경유,5,국산,겨울,51789.47368
